,Casino,Free_internet,Gym,Helpful_votes,Hotel_name,Hotel_stars,Member_years,Nr_hotel_reviews,Nr_reviews,Nr_rooms,Period_of_stay,Pool,Review_month,Review_weekday,Score,Spa,Tennis_court,Traveler_type,User_continent
127,YES,YES,YES,21,Caesars Palace,5,2,4,46,3348,Mar-May,YES,April,Saturday,1,YES,NO,Couples,North America
285,YES,YES,YES,14,Encore at wynn Las Vegas,5,5,5,5,2034,Sep-Nov,YES,November,Sunday,1,YES,NO,Couples,North America
414,YES,YES,YES,206,The Venetian Las Vegas Hotel,5,9,78,116,4027,Mar-May,YES,April,Sunday,1,YES,NO,Couples,Asia
107,YES,YES,YES,105,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,7,78,79,1467,Jun-Aug,YES,June,Wednesday,1,YES,YES,Friends,Oceania
373,NO,YES,YES,22,Hilton Grand Vacations at the Flamingo,3,3,6,45,315,Jun-Aug,YES,July,Thursday,1,NO,NO,Couples,North America
370,NO,YES,YES,24,Hilton Grand Vacations at the Flamingo,3,2,11,31,315,Jun-Aug,YES,June,Wednesday,1,NO,NO,Couples,North America
133,YES,YES,YES,37,Caesars Palace,5,6,56,59,3348,Jun-Aug,YES,July,Tuesday,1,YES,NO,Families,Europe
399,NO,YES,YES,6,Wyndham Grand Desert,3,10,4,12,787,Jun-Aug,YES,July,Sunday,1,NO,YES,Couples,North America
44,YES,YES,YES,19,Excalibur Hotel & Casino,3,6,8,35,3981,Sep-Nov,YES,November,Sunday,1,YES,NO,Families,North America
464,YES,YES,YES,4,Paris Las Vegas,4,6,5,9,2916,Mar-May,YES,May,Thursday,1,YES,NO,Friends,North America
65,YES,NO,YES,16,Monte Carlo Resort&Casino,4,5,17,19,3003,Sep-Nov,YES,September,Wednesday,1,YES,NO,Couples,Europe
283,YES,YES,YES,7,Encore at wynn Las Vegas,5,4,10,34,2034,Sep-Nov,YES,October,Thursday,1,YES,NO,Business,Europe
85,YES,YES,YES,27,Treasure Island- TI Hotel & Casino,4,5,14,43,2884,Jun-Aug,YES,July,Thursday,1,YES,YES,Solo,Asia
242,YES,YES,NO,12,The Cromwell,4,1,6,26,188,Dec-Feb,YES,January,Sunday,1,NO,NO,Families,North America
186,YES,YES,YES,15,The Palazzo Resort Hotel Casino,5,1,3,9,3025,Sep-Nov,YES,October,Wednesday,1,YES,NO,Families,North America
386,NO,YES,YES,33,Wyndham Grand Desert,3,1,11,60,787,Dec-Feb,YES,January,Sunday,1,NO,YES,Couples,North America
159,YES,YES,YES,56,The Cosmopolitan Las Vegas,5,10,8,19,2959,Jun-Aug,YES,August,Sunday,1,YES,NO,Couples,North America
12,YES,YES,YES,9,Circus Circus Hotel & Casino Las Vegas,3,1,6,7,3773,Jun-Aug,NO,July,Wednesday,0,NO,NO,Friends,North America
35,YES,YES,YES,4,Excalibur Hotel & Casino,3,6,7,20,3981,Jun-Aug,YES,June,Saturday,1,YES,NO,Couples,Europe
28,YES,YES,YES,28,Excalibur Hotel & Casino,3,1,10,26,3981,Mar-May,YES,March,Wednesday,1,YES,NO,Solo,North America
170,YES,YES,YES,4,The Palazzo Resort Hotel Casino,5,9,0,4,3025,Dec-Feb,YES,February,Friday,1,YES,NO,Couples,North America
142,YES,YES,YES,2,Caesars Palace,5,3,7,23,3348,Dec-Feb,YES,December,Friday,1,YES,NO,Families,North America
416,YES,YES,YES,26,The Venetian Las Vegas Hotel,5,1,10,83,4027,Mar-May,YES,May,Tuesday,1,YES,NO,Families,Oceania
424,YES,YES,YES,14,The Venetian Las Vegas Hotel,5,5,11,56,4027,Sep-Nov,YES,September,Friday,1,YES,NO,Couples,Europe
221,YES,YES,YES,255,Trump International Hotel Las Vegas,5,2,52,775,1282,Mar-May,YES,March,Wednesday,1,YES,NO,Couples,North America
95,YES,YES,YES,48,Treasure Island- TI Hotel & Casino,4,12,16,21,2884,Dec-Feb,YES,December,Thursday,1,YES,YES,Couples,North America
51,YES,NO,YES,22,Monte Carlo Resort&Casino,4,2,13,73,3003,Dec-Feb,YES,February,Tuesday,1,YES,NO,Couples,North America
240,YES,YES,NO,102,The Cromwell,4,1,45,320,188,Dec-Feb,YES,January,Sunday,1,NO,NO,Business,Asia
375,NO,YES,YES,11,Hilton Grand Vacations at the Flamingo,3,1,23,23,315,Jun-Aug,YES,August,Sunday,1,NO,NO,Families,North America
381,NO,YES,YES,1,Hilton Grand Vacations at the Flamingo,3,4,7,13,315,Sep-Nov,YES,November,Sunday,1,NO,NO,Business,North America
178,YES,YES,YES,22,The Palazzo Resort Hotel Casino,5,6,8,42,3025,Jun-Aug,YES,June,Monday,1,YES,NO,Friends,North America
41,YES,YES,YES,59,Excalibur Hotel & Casino,3,8,5,20,3981,Sep-Nov,YES,September,Saturday,1,YES,NO,Couples,North America
439,YES,YES,YES,8,Bellagio Las Vegas,5,3,0,3,3933,Mar-May,YES,April,Tuesday,0,YES,NO,Families,Europe
390,NO,YES,YES,38,Wyndham Grand Desert,3,1,22,69,787,Mar-May,YES,April,Sunday,1,NO,YES,Families,North America
206,YES,YES,YES,99,Wynn Las Vegas,5,6,46,67,2700,Jun-Aug,YES,August,Sunday,1,YES,YES,Couples,North America
282,YES,YES,YES,1,Encore at wynn Las Vegas,5,5,5,12,2034,Sep-Nov,YES,October,Friday,1,YES,NO,Couples,North America
254,YES,YES,NO,70,The Cromwell,4,10,52,184,188,Jun-Aug,YES,July,Sunday,1,NO,NO,Couples,Europe
415,YES,YES,YES,26,The Venetian Las Vegas Hotel,5,2,13,22,4027,Mar-May,YES,April,Friday,1,YES,NO,Couples,Oceania
4,YES,YES,YES,2,Circus Circus Hotel & Casino Las Vegas,3,7,5,5,3773,Mar-May,NO,March,Tuesday,1,NO,NO,Solo,North America
256,YES,YES,NO,17,The Cromwell,4,10,11,69,188,Sep-Nov,YES,October,Sunday,1,NO,NO,Couples,North America
452,YES,YES,YES,43,Bellagio Las Vegas,5,4,18,26,3933,Sep-Nov,YES,November,Monday,1,YES,NO,Friends,Europe
100,YES,YES,YES,8,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,3,3,13,1467,Mar-May,YES,March,Wednesday,1,YES,YES,Business,North America
226,YES,YES,YES,16,Trump International Hotel Las Vegas,5,8,18,38,1282,Jun-Aug,YES,June,Sunday,1,YES,NO,Couples,North America
431,YES,YES,YES,12,The Venetian Las Vegas Hotel,5,10,6,6,4027,Dec-Feb,YES,December,Wednesday,1,YES,NO,Couples,North America
213,YES,YES,YES,14,Wynn Las Vegas,5,8,18,2,2700,Sep-Nov,YES,November,Wednesday,1,YES,YES,Couples,Europe
425,YES,YES,YES,15,The Venetian Las Vegas Hotel,5,7,7,29,4027,Sep-Nov,YES,September,Thursday,1,YES,NO,Couples,Europe
171,YES,YES,YES,9,The Palazzo Resort Hotel Casino,5,3,8,37,3025,Dec-Feb,YES,February,Tuesday,1,YES,NO,Couples,North America
98,YES,YES,YES,51,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,5,39,79,1467,Dec-Feb,YES,February,Wednesday,1,YES,YES,Couples,Asia
292,YES,YES,YES,42,Hilton Grand Vacations on the Boulevard,3,10,7,60,1228,Mar-May,YES,April,Sunday,1,YES,NO,Couples,Europe
215,YES,YES,YES,55,Wynn Las Vegas,5,9,13,16,2700,Dec-Feb,YES,December,Tuesday,1,YES,YES,Couples,North America
61,YES,NO,YES,19,Monte Carlo Resort&Casino,4,7,6,9,3003,Jun-Aug,YES,July,Wednesday,1,YES,NO,Couples,Oceania
47,YES,YES,YES,30,Excalibur Hotel & Casino,3,4,8,34,3981,Dec-Feb,YES,December,Tuesday,1,YES,NO,Solo,Asia
32,YES,YES,YES,7,Excalibur Hotel & Casino,3,1,8,56,3981,Mar-May,YES,May,Tuesday,1,YES,NO,Solo,North America
267,YES,YES,YES,12,Encore at wynn Las Vegas,5,4,5,15,2034,Dec-Feb,YES,February,Sunday,1,YES,NO,Business,North America
327,YES,YES,YES,25,Marriott's Grand Chateau,3,10,40,62,643,Jun-Aug,YES,July,Sunday,1,NO,NO,Families,Asia
200,YES,YES,YES,16,Wynn Las Vegas,5,7,10,16,2700,Mar-May,YES,May,Monday,1,YES,YES,Solo,Asia
450,YES,YES,YES,42,Bellagio Las Vegas,5,5,22,26,3933,Sep-Nov,YES,October,Sunday,1,YES,NO,Couples,Europe
27,YES,YES,YES,36,Excalibur Hotel & Casino,3,3,18,87,3981,Dec-Feb,YES,February,Thursday,1,YES,NO,Business,Europe
392,NO,YES,YES,5,Wyndham Grand Desert,3,1,5,26,787,Mar-May,YES,April,Sunday,1,NO,YES,Families,Oceania
230,YES,YES,YES,2,Trump International Hotel Las Vegas,5,4,3,3,1282,Jun-Aug,YES,August,Sunday,1,YES,NO,Couples,Asia
260,YES,YES,NO,53,The Cromwell,4,1,22,49,188,Sep-Nov,YES,October,Sunday,1,NO,NO,Couples,North America
288,YES,YES,YES,2,Hilton Grand Vacations on the Boulevard,3,10,3,4,1228,Dec-Feb,YES,January,Sunday,1,YES,NO,Couples,North America
162,YES,YES,YES,98,The Cosmopolitan Las Vegas,5,7,5,103,2959,Sep-Nov,YES,October,Monday,1,YES,NO,Couples,North America
428,YES,YES,YES,3,The Venetian Las Vegas Hotel,5,5,6,9,4027,Sep-Nov,YES,November,Saturday,1,YES,NO,Friends,Europe
138,YES,YES,YES,7,Caesars Palace,5,11,6,14,3348,Sep-Nov,YES,October,Sunday,1,YES,NO,Business,North America
62,YES,NO,YES,36,Monte Carlo Resort&Casino,4,5,19,36,3003,Jun-Aug,YES,August,Thursday,0,YES,NO,Solo,Europe
135,YES,YES,YES,31,Caesars Palace,5,5,18,54,3348,Jun-Aug,YES,August,Wednesday,1,YES,NO,Friends,North America
128,YES,YES,YES,39,Caesars Palace,5,4,6,15,3348,Mar-May,YES,May,Sunday,0,YES,NO,Couples,Europe
480,YES,YES,YES,17,The Westin las Vegas Hotel Casino & Spa,4,4,13,20,826,Dec-Feb,YES,January,Monday,1,YES,NO,Couples,North America
8,YES,YES,YES,8,Circus Circus Hotel & Casino Las Vegas,3,3,3,24,3773,Mar-May,NO,May,Saturday,1,NO,NO,Friends,Asia
326,YES,YES,YES,7,Marriott's Grand Chateau,3,10,12,20,643,Jun-Aug,YES,July,Sunday,1,NO,NO,Families,Asia
467,YES,YES,YES,49,Paris Las Vegas,4,6,19,130,2916,Jun-Aug,YES,June,Sunday,1,YES,NO,Couples,North America
64,YES,NO,YES,142,Monte Carlo Resort&Casino,4,8,126,156,3003,Sep-Nov,YES,September,Friday,1,YES,NO,Friends,Asia
300,YES,YES,YES,9,Hilton Grand Vacations on the Boulevard,3,1,18,39,1228,Jun-Aug,YES,July,Sunday,1,YES,NO,Families,Europe
14,YES,YES,YES,0,Circus Circus Hotel & Casino Las Vegas,3,1,3,3,3773,Jun-Aug,NO,August,Sunday,1,NO,NO,Friends,Europe
156,YES,YES,YES,14,The Cosmopolitan Las Vegas,5,1,4,6,2959,Jun-Aug,YES,July,Wednesday,0,YES,NO,Business,North America
40,YES,YES,YES,21,Excalibur Hotel & Casino,3,2,8,29,3981,Sep-Nov,YES,September,Wednesday,1,YES,NO,Business,Europe
379,NO,YES,YES,53,Hilton Grand Vacations at the Flamingo,3,5,44,116,315,Sep-Nov,YES,October,Saturday,1,NO,NO,Couples,Asia
463,YES,YES,YES,39,Paris Las Vegas,4,3,4,73,2916,Mar-May,YES,April,Monday,1,YES,NO,Friends,North America
406,NO,YES,YES,133,Wyndham Grand Desert,3,1,28,289,787,Dec-Feb,YES,January,Sunday,1,NO,YES,Families,North America
216,YES,YES,YES,13,Trump International Hotel Las Vegas,5,10,7,21,1282,Dec-Feb,YES,January,Tuesday,1,YES,NO,Solo,Europe
279,YES,YES,YES,200,Encore at wynn Las Vegas,5,4,58,333,2034,Jun-Aug,YES,August,Sunday,1,YES,NO,Families,North America
438,YES,YES,YES,18,Bellagio Las Vegas,5,4,10,23,3933,Mar-May,YES,April,Monday,1,YES,NO,Business,Europe
434,YES,YES,YES,26,Bellagio Las Vegas,5,3,6,30,3933,Dec-Feb,YES,February,Tuesday,1,YES,NO,Couples,North America
337,YES,YES,YES,12,Tuscany Las Vegas Suites & Casino,3,8,5,25,716,Dec-Feb,YES,January,Thursday,1,YES,YES,Friends,North America
236,YES,YES,YES,1,Trump International Hotel Las Vegas,5,1,0,1,1282,Sep-Nov,YES,November,Wednesday,0,YES,NO,Couples,Europe
207,YES,YES,YES,25,Wynn Las Vegas,5,9,13,18,2700,Jun-Aug,YES,August,Saturday,1,YES,YES,Solo,Europe
212,YES,YES,YES,3,Wynn Las Vegas,5,2,9,15,2700,Sep-Nov,YES,November,Monday,1,YES,YES,Business,North America
295,YES,YES,YES,45,Hilton Grand Vacations on the Boulevard,3,10,5,7,1228,Mar-May,YES,April,Sunday,1,YES,NO,Families,North America
461,YES,YES,YES,6,Paris Las Vegas,4,2,7,14,2916,Mar-May,YES,March,Friday,1,YES,NO,Couples,North America
251,YES,YES,NO,1,The Cromwell,4,10,0,2,188,Jun-Aug,YES,July,Sunday,1,NO,NO,Couples,North America
492,YES,YES,YES,9,The Westin las Vegas Hotel Casino & Spa,4,6,11,12,826,Jun-Aug,YES,July,Monday,1,YES,NO,Families,Asia
462,YES,YES,YES,54,Paris Las Vegas,4,9,16,56,2916,Mar-May,YES,April,Tuesday,1,YES,NO,Business,North America
303,YES,YES,YES,19,Hilton Grand Vacations on the Boulevard,3,10,21,48,1228,Jun-Aug,YES,July,Sunday,1,YES,NO,Families,Europe
350,YES,YES,YES,2,Tuscany Las Vegas Suites & Casino,3,10,3,3,716,Jun-Aug,YES,August,Wednesday,1,YES,YES,Business,North America
269,YES,YES,YES,27,Encore at wynn Las Vegas,5,1,38,113,2034,Mar-May,YES,March,Tuesday,1,YES,NO,Friends,North America
201,YES,YES,YES,5,Wynn Las Vegas,5,3,5,19,2700,Mar-May,YES,May,Monday,1,YES,YES,Couples,Europe
161,YES,YES,YES,7,The Cosmopolitan Las Vegas,5,7,6,6,2959,Sep-Nov,YES,September,Tuesday,1,YES,NO,Couples,Europe
43,YES,YES,YES,27,Excalibur Hotel & Casino,3,5,6,47,3981,Sep-Nov,YES,October,Monday,1,YES,NO,Friends,Europe
217,YES,YES,YES,41,Trump International Hotel Las Vegas,5,5,58,69,1282,Dec-Feb,YES,January,Saturday,1,YES,NO,Business,Asia
401,NO,YES,YES,265,Wyndham Grand Desert,3,10,162,415,787,Sep-Nov,YES,October,Sunday,1,NO,YES,Business,North America
190,YES,YES,YES,4,The Palazzo Resort Hotel Casino,5,7,4,6,3025,Dec-Feb,YES,December,Thursday,1,YES,NO,Couples,North America
309,YES,YES,YES,25,Hilton Grand Vacations on the Boulevard,3,1,15,22,1228,Sep-Nov,YES,October,Sunday,1,YES,NO,Families,North America
259,YES,YES,NO,16,The Cromwell,4,10,10,25,188,Sep-Nov,YES,October,Sunday,1,NO,NO,Friends,Europe
105,YES,YES,YES,31,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1,15,39,1467,Mar-May,YES,May,Sunday,1,YES,YES,Friends,Europe
53,YES,NO,YES,17,Monte Carlo Resort&Casino,4,2,15,63,3003,Mar-May,YES,March,Tuesday,1,YES,NO,Business,North America
389,NO,YES,YES,35,Wyndham Grand Desert,3,10,12,34,787,Mar-May,YES,April,Sunday,1,NO,YES,Couples,North America
1,YES,YES,YES,75,Circus Circus Hotel & Casino Las Vegas,3,3,21,119,3773,Dec-Feb,NO,January,Friday,1,NO,NO,Business,North America
490,YES,YES,YES,161,The Westin las Vegas Hotel Casino & Spa,4,11,47,96,826,Jun-Aug,YES,June,Monday,1,YES,NO,Solo,North America
486,YES,YES,YES,47,The Westin las Vegas Hotel Casino & Spa,4,4,22,38,826,Mar-May,YES,April,Monday,1,YES,NO,Business,North America
49,YES,NO,YES,11,Monte Carlo Resort&Casino,4,5,8,20,3003,Dec-Feb,YES,January,Saturday,1,YES,NO,Solo,North America
419,YES,YES,YES,46,The Venetian Las Vegas Hotel,5,6,34,95,4027,Jun-Aug,YES,June,Sunday,1,YES,NO,Business,North America
80,YES,YES,YES,25,Treasure Island- TI Hotel & Casino,4,1,4,12,2884,Mar-May,YES,May,Friday,1,YES,YES,Families,Asia
205,YES,YES,YES,10,Wynn Las Vegas,5,3,4,7,2700,Jun-Aug,YES,July,Sunday,1,YES,YES,Couples,North America
34,YES,YES,YES,15,Excalibur Hotel & Casino,3,1,9,58,3981,Jun-Aug,YES,June,Saturday,1,YES,NO,Couples,Oceania
430,YES,YES,YES,11,The Venetian Las Vegas Hotel,5,9,10,16,4027,Dec-Feb,YES,December,Thursday,1,YES,NO,Families,Asia
263,YES,YES,NO,1,The Cromwell,4,10,4,13,188,Dec-Feb,YES,January,Sunday,1,NO,NO,Couples,North America
427,YES,YES,YES,31,The Venetian Las Vegas Hotel,5,8,20,39,4027,Sep-Nov,YES,October,Thursday,1,YES,NO,Couples,Europe
366,NO,YES,YES,61,Hilton Grand Vacations at the Flamingo,3,1,14,82,315,Mar-May,YES,April,Wednesday,1,NO,NO,Families,North America
91,YES,YES,YES,5,Treasure Island- TI Hotel & Casino,4,2,11,27,2884,Sep-Nov,YES,October,Monday,1,YES,YES,Couples,North America
339,YES,YES,YES,319,Tuscany Las Vegas Suites & Casino,3,5,117,608,716,Dec-Feb,YES,February,Saturday,1,YES,YES,Business,North America
477,YES,YES,YES,5,Paris Las Vegas,4,1,3,24,2916,Sep-Nov,YES,November,Sunday,1,YES,NO,Couples,North America
52,YES,NO,YES,32,Monte Carlo Resort&Casino,4,2,10,30,3003,Mar-May,YES,March,Wednesday,1,YES,NO,Couples,North America
345,YES,YES,YES,22,Tuscany Las Vegas Suites & Casino,3,5,20,108,716,Mar-May,YES,May,Thursday,1,YES,YES,Business,North America
264,YES,YES,YES,20,Encore at wynn Las Vegas,5,5,3,3,2034,Dec-Feb,YES,January,Tuesday,0,YES,NO,Business,Asia
241,YES,YES,NO,2,The Cromwell,4,1,0,2,188,Dec-Feb,YES,January,Sunday,1,NO,NO,Business,North America
13,YES,YES,YES,13,Circus Circus Hotel & Casino Las Vegas,3,1,5,22,3773,Jun-Aug,NO,July,Thursday,1,NO,NO,Friends,North America
315,YES,YES,YES,20,Marriott's Grand Chateau,3,10,13,21,643,Dec-Feb,YES,January,Sunday,1,NO,NO,Business,North America
88,YES,YES,YES,6,Treasure Island- TI Hotel & Casino,4,1,9,11,2884,Sep-Nov,YES,September,Friday,1,YES,YES,Couples,Europe
387,NO,YES,YES,15,Wyndham Grand Desert,3,10,4,12,787,Dec-Feb,YES,January,Sunday,1,NO,YES,Couples,North America
273,YES,YES,YES,86,Encore at wynn Las Vegas,5,5,20,139,2034,Mar-May,YES,May,Monday,1,YES,NO,Friends,Europe
166,YES,YES,YES,8,The Cosmopolitan Las Vegas,5,8,3,4,2959,Dec-Feb,YES,December,Tuesday,0,YES,NO,Couples,North America
328,YES,YES,YES,58,Marriott's Grand Chateau,3,1,19,88,643,Sep-Nov,YES,October,Sunday,1,NO,NO,Friends,North America
496,YES,YES,YES,19,The Westin las Vegas Hotel Casino & Spa,4,6,27,30,826,Sep-Nov,YES,September,Friday,1,YES,NO,Solo,North America
134,YES,YES,YES,17,Caesars Palace,5,3,10,11,3348,Jun-Aug,YES,August,Friday,1,YES,NO,Families,Europe
306,YES,YES,YES,16,Hilton Grand Vacations on the Boulevard,3,10,3,11,1228,Sep-Nov,YES,October,Sunday,0,YES,NO,Couples,Europe
484,YES,YES,YES,12,The Westin las Vegas Hotel Casino & Spa,4,4,11,33,826,Mar-May,YES,March,Wednesday,1,YES,NO,Business,North America
319,YES,YES,YES,31,Marriott's Grand Chateau,3,10,4,60,643,Mar-May,YES,April,Sunday,1,NO,NO,Couples,North America
243,YES,YES,NO,0,The Cromwell,4,1,4,4,188,Dec-Feb,YES,January,Sunday,1,NO,NO,Couples,North America
54,YES,NO,YES,13,Monte Carlo Resort&Casino,4,5,10,24,3003,Mar-May,YES,April,Wednesday,1,YES,NO,Couples,Europe
363,NO,YES,YES,8,Hilton Grand Vacations at the Flamingo,3,1,3,3,315,Dec-Feb,YES,February,Saturday,0,NO,NO,Families,North America
50,YES,NO,YES,132,Monte Carlo Resort&Casino,4,3,32,418,3003,Dec-Feb,YES,February,Tuesday,0,YES,NO,Couples,North America
460,YES,YES,YES,59,Paris Las Vegas,4,9,13,121,2916,Mar-May,YES,March,Tuesday,0,YES,NO,Couples,North America
174,YES,YES,YES,14,The Palazzo Resort Hotel Casino,5,5,10,31,3025,Mar-May,YES,April,Sunday,1,YES,NO,Couples,North America
445,YES,YES,YES,48,Bellagio Las Vegas,5,10,18,77,3933,Jun-Aug,YES,July,Saturday,1,YES,NO,Families,Asia
189,YES,YES,YES,35,The Palazzo Resort Hotel Casino,5,7,25,31,3025,Sep-Nov,YES,November,Sunday,1,YES,NO,Families,South America
500,YES,YES,YES,29,The Westin las Vegas Hotel Casino & Spa,4,8,13,50,826,Sep-Nov,YES,November,Thursday,1,YES,NO,Couples,North America
187,YES,YES,YES,9,The Palazzo Resort Hotel Casino,5,2,3,5,3025,Sep-Nov,YES,October,Thursday,1,YES,NO,Couples,Oceania
169,YES,YES,YES,11,The Palazzo Resort Hotel Casino,5,10,6,32,3025,Dec-Feb,YES,January,Friday,1,YES,NO,Families,North America
58,YES,NO,YES,7,Monte Carlo Resort&Casino,4,9,5,7,3003,Jun-Aug,YES,June,Tuesday,1,YES,NO,Couples,Europe
48,YES,NO,YES,340,Monte Carlo Resort&Casino,4,3,43,576,3003,Dec-Feb,YES,January,Monday,1,YES,NO,Couples,Europe
344,YES,YES,YES,3,Tuscany Las Vegas Suites & Casino,3,10,0,1,716,Mar-May,YES,May,Thursday,0,YES,YES,Families,Asia
235,YES,YES,YES,17,Trump International Hotel Las Vegas,5,2,7,11,1282,Sep-Nov,YES,October,Saturday,1,YES,NO,Couples,Oceania
252,YES,YES,NO,53,The Cromwell,4,1,18,21,188,Jun-Aug,YES,July,Sunday,1,NO,NO,Couples,North America
21,YES,YES,YES,3,Circus Circus Hotel & Casino Las Vegas,3,3,3,4,3773,Sep-Nov,NO,November,Monday,0,NO,NO,Couples,Oceania
313,YES,YES,YES,169,Marriott's Grand Chateau,3,1,78,372,643,Dec-Feb,YES,January,Sunday,1,NO,NO,Business,North America
459,YES,YES,YES,43,Paris Las Vegas,4,4,12,116,2916,Dec-Feb,YES,February,Tuesday,1,YES,NO,Friends,North America
160,YES,YES,YES,10,The Cosmopolitan Las Vegas,5,1,9,18,2959,Sep-Nov,YES,September,Wednesday,1,YES,NO,Couples,Europe
276,YES,YES,YES,5,Encore at wynn Las Vegas,5,3,3,4,2034,Jun-Aug,YES,July,Thursday,1,YES,NO,Friends,North America
443,YES,YES,YES,11,Bellagio Las Vegas,5,6,5,32,3933,Jun-Aug,YES,June,Sunday,1,YES,NO,Business,North America
191,YES,YES,YES,113,The Palazzo Resort Hotel Casino,5,8,55,252,3025,Dec-Feb,YES,December,Monday,1,YES,NO,Families,North America
385,NO,YES,YES,13,Wyndham Grand Desert,3,10,11,21,787,Dec-Feb,YES,January,Sunday,1,NO,YES,Families,Oceania
293,YES,YES,YES,18,Hilton Grand Vacations on the Boulevard,3,10,49,92,1228,Mar-May,YES,April,Sunday,1,YES,NO,Couples,Europe
413,YES,YES,YES,5,The Venetian Las Vegas Hotel,5,5,7,19,4027,Mar-May,YES,March,Wednesday,1,YES,NO,Couples,North America
343,YES,YES,YES,13,Tuscany Las Vegas Suites & Casino,3,3,10,39,716,Mar-May,YES,April,Wednesday,1,YES,YES,Couples,North America
257,YES,YES,NO,27,The Cromwell,4,10,12,92,188,Sep-Nov,YES,October,Sunday,1,NO,NO,Business,Oceania
308,YES,YES,YES,1,Hilton Grand Vacations on the Boulevard,3,1,4,4,1228,Sep-Nov,YES,October,Sunday,1,YES,NO,Families,North America
149,YES,YES,YES,74,The Cosmopolitan Las Vegas,5,10,17,17,2959,Mar-May,YES,March,Saturday,1,YES,NO,Couples,North America
130,YES,YES,YES,13,Caesars Palace,5,2,15,17,3348,Jun-Aug,YES,June,Sunday,1,YES,NO,Couples,North America
151,YES,YES,YES,45,The Cosmopolitan Las Vegas,5,2,17,102,2959,Mar-May,YES,April,Monday,1,YES,NO,Business,North America
359,YES,YES,YES,4,Tuscany Las Vegas Suites & Casino,3,5,4,13,716,Dec-Feb,YES,December,Tuesday,1,YES,YES,Friends,North America
99,YES,YES,YES,16,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,2,10,18,1467,Dec-Feb,YES,February,Thursday,1,YES,YES,Business,Asia
372,NO,YES,YES,25,Hilton Grand Vacations at the Flamingo,3,7,7,56,315,Jun-Aug,YES,July,Sunday,1,NO,NO,Families,North America
87,YES,YES,YES,4,Treasure Island- TI Hotel & Casino,4,5,3,7,2884,Jun-Aug,YES,August,Friday,1,YES,YES,Couples,Europe
458,YES,YES,YES,2,Paris Las Vegas,4,1,4,4,2916,Dec-Feb,YES,February,Wednesday,0,YES,NO,Couples,North America
330,YES,YES,YES,8,Marriott's Grand Chateau,3,1,9,18,643,Sep-Nov,YES,October,Sunday,1,NO,NO,Business,Asia
214,YES,YES,YES,10,Wynn Las Vegas,5,5,6,10,2700,Dec-Feb,YES,December,Tuesday,1,YES,YES,Couples,Europe
466,YES,YES,YES,38,Paris Las Vegas,4,4,12,30,2916,Jun-Aug,YES,June,Saturday,1,YES,NO,Couples,Oceania
121,YES,YES,YES,85,Caesars Palace,5,3,33,161,3348,Dec-Feb,YES,January,Friday,1,YES,NO,Couples,North America
503,YES,YES,YES,112,The Westin las Vegas Hotel Casino & Spa,4,5,19,20,826,Dec-Feb,YES,December,Tuesday,1,YES,NO,Families,North America
20,YES,YES,YES,2,Circus Circus Hotel & Casino Las Vegas,3,7,5,10,3773,Sep-Nov,NO,November,Saturday,1,NO,NO,Couples,Europe
188,YES,YES,YES,10,The Palazzo Resort Hotel Casino,5,1,7,37,3025,Sep-Nov,YES,November,Sunday,1,YES,NO,Friends,Asia
71,YES,NO,YES,36,Monte Carlo Resort&Casino,4,3,14,56,3003,Dec-Feb,YES,December,Monday,1,YES,NO,Couples,North America
106,YES,YES,YES,61,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,3,41,130,1467,Jun-Aug,YES,June,Tuesday,1,YES,YES,Business,Europe
270,YES,YES,YES,5,Encore at wynn Las Vegas,5,7,5,7,2034,Mar-May,YES,April,Monday,1,YES,NO,Families,Europe
348,YES,YES,YES,134,Tuscany Las Vegas Suites & Casino,3,5,55,55,716,Jun-Aug,YES,July,Wednesday,1,YES,YES,Couples,Europe
435,YES,YES,YES,111,Bellagio Las Vegas,5,1,9,41,3933,Dec-Feb,YES,February,Friday,1,YES,NO,Business,North America
102,YES,YES,YES,28,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,3,9,19,1467,Mar-May,YES,April,Friday,1,YES,YES,Couples,Europe
